,loss,mse,val_loss,val_mse
0,0.14734825491905212,0.10503553599119186,0.07358334213495255,0.061167482286691666
1,0.08900623768568039,0.06082962453365326,0.07429715991020203,0.052818428725004196
2,0.07252884656190872,0.04616265371441841,0.05431697517633438,0.034222476184368134
3,0.05553324520587921,0.03285251557826996,0.0473158173263073,0.02963389828801155
4,0.05123474821448326,0.030379272997379303,0.047357428818941116,0.02932075597345829
5,0.04829218238592148,0.028961291536688805,0.045710302889347076,0.027525899931788445
6,0.04678661376237869,0.027919963002204895,0.043147973716259,0.02573877014219761
7,0.045098308473825455,0.026938945055007935,0.03984161093831062,0.024726860225200653
8,0.04346971586346626,0.026178596541285515,0.03984954580664635,0.024607939645648003
9,0.041812218725681305,0.025491923093795776,0.03912920132279396,0.024119490757584572
10,0.04132268577814102,0.025408761575818062,0.038752492517232895,0.02433408424258232
11,0.040274180471897125,0.025013189762830734,0.040889911353588104,0.024622807279229164
12,0.03924920782446861,0.024332240223884583,0.03702867403626442,0.022875523194670677
13,0.038930848240852356,0.0242740660905838,0.03791587054729462,0.023231301456689835
14,0.038170162588357925,0.02382032945752144,0.036820974200963974,0.022099114954471588
15,0.037776146084070206,0.023851079866290092,0.0364094115793705,0.023058373481035233
16,0.037241674959659576,0.02336115390062332,0.034033533185720444,0.021109795197844505
17,0.03630107268691063,0.023304836824536324,0.03566093370318413,0.02360258810222149
18,0.03606662154197693,0.023454604670405388,0.03564038500189781,0.02267564833164215
19,0.03523610532283783,0.02286149188876152,0.036016084253787994,0.02274053543806076
20,0.03513375297188759,0.022762775421142578,0.03525110334157944,0.023270800709724426
21,0.03511899709701538,0.023281309753656387,0.032414864748716354,0.021128227934241295
22,0.03407816216349602,0.022559156641364098,0.03269709274172783,0.02065420150756836
23,0.03401504456996918,0.02209317311644554,0.033020615577697754,0.02164880931377411
24,0.034020066261291504,0.022368572652339935,0.03341837599873543,0.021042263135313988
25,0.03315512463450432,0.02246190793812275,0.03381301090121269,0.022455688565969467
26,0.032934706658124924,0.021874306723475456,0.03221682459115982,0.020440906286239624
27,0.03226253017783165,0.02190496399998665,0.03320453688502312,0.020829487591981888
28,0.03233688697218895,0.02181396074593067,0.03279445692896843,0.022310135886073112
29,0.031760673969984055,0.021553542464971542,0.03056919574737549,0.020118067041039467
